COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,2020,57291.0
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,2021,55420.0
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,3Q2022,11084.0
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,SEP2021,4933.0
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,YTD2021,41953.0
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,YTD2022,38805.0
AUSTRALI,BALANCE,NATGASCM,INDPROD,2020,153014.0
AUSTRALI,BALANCE,NATGASCM,INDPROD,2021,156154.0
AUSTRALI,BALANCE,NATGASCM,INDPROD,3Q2022,27488.0
AUSTRALI,BALANCE,NATGASCM,INDPROD,SEP2021,13599.0
AUSTRALI,BALANCE,NATGASCM,INDPROD,YTD2021,115993.0
AUSTRALI,BALANCE,NATGASCM,INDPROD,YTD2022,107281.0
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,2020,6711.0
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,2021,6069.0
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,3Q2022,286.0
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,SEP2021,543.0
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,YTD2021,4707.0
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,YTD2022,2234.0
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,2020,102434.0
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,2021,106803.0
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,3Q2022,16690.0
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,SEP2021,9209.0
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,YTD2021,78747.0
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,YTD2022,70710.0
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,2020,8823.864
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,2021,9343.52
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,3Q2022,1138.676
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,SEP2021,463.227
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,SEP2022,470.221
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,YTD2021,6327.436
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,YTD2022,5822.931
AUSTRIA,BALANCE,NATGASCM,INDPROD,2020,786.796
AUSTRIA,BALANCE,NATGASCM,INDPROD,2021,708.413
AUSTRIA,BALANCE,NATGASCM,INDPROD,3Q2022,161.135
AUSTRIA,BALANCE,NATGASCM,INDPROD,SEP2021,55.892
AUSTRIA,BALANCE,NATGASCM,INDPROD,SEP2022,53.551
AUSTRIA,BALANCE,NATGASCM,INDPROD,YTD2021,513.665
AUSTRIA,BALANCE,NATGASCM,INDPROD,YTD2022,503.483
AUSTRIA,BALANCE,NATGASCM,STCHANAT,2020,-1586.326
AUSTRIA,BALANCE,NATGASCM,STCHANAT,2021,-3891.27
AUSTRIA,BALANCE,NATGASCM,STCHANAT,3Q2022,3085.691
AUSTRIA,BALANCE,NATGASCM,STCHANAT,SEP2021,608.998
AUSTRIA,BALANCE,NATGASCM,STCHANAT,SEP2022,1148.859
