COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,2020,34187.21
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,2021,35197.951
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,3Q2022,8001.471
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,SEP2021,2988.19
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,SEP2022,1507.289
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,YTD2021,26103.746
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,YTD2022,25439.63
OECDTOT,BALANCE,CRNGFEED,CSNATTER,2020,326756.345
OECDTOT,BALANCE,CRNGFEED,CSNATTER,2021,300160.005
OECDTOT,BALANCE,CRNGFEED,CSNATTER,1Q2022,290904.377
OECDTOT,BALANCE,CRNGFEED,CSNATTER,2Q2022,282743.78
OECDTOT,BALANCE,CRNGFEED,CSNATTER,3Q2022,274528.125
OECDTOT,BALANCE,CRNGFEED,CSNATTER,4Q2021,297582.261
OECDTOT,BALANCE,CRNGFEED,CSNATTER,SEP2021,298175.168
OECDTOT,BALANCE,CRNGFEED,CSNATTER,SEP2022,25358.75
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,2020,253407.604
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,2021,259179.77
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,3Q2022,50553.3
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,SEP2021,21438.063
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,SEP2022,2741.168
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,YTD2021,191197.846
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,YTD2022,183564.002
OECDTOT,BALANCE,CRNGFEED,INDPROD,2020,1234005.868
OECDTOT,BALANCE,CRNGFEED,INDPROD,2021,1271122.922
OECDTOT,BALANCE,CRNGFEED,INDPROD,3Q2022,244088.251
OECDTOT,BALANCE,CRNGFEED,INDPROD,SEP2021,103919.835
OECDTOT,BALANCE,CRNGFEED,INDPROD,SEP2022,24186.218
OECDTOT,BALANCE,CRNGFEED,INDPROD,YTD2021,947158.438
OECDTOT,BALANCE,CRNGFEED,INDPROD,YTD2022,871301.854
OECDTOT,BALANCE,CRNGFEED,OSNATTER,2020,327846.558
OECDTOT,BALANCE,CRNGFEED,OSNATTER,2021,303185.303
